,x,y,distance
0,349.732666,456.5452576,721.2748171
1,369.999939,457.9999695,735.4100412
2,504.5,458,722.5079794
3,272,415.9999695,908.4477368
4,272,415.9999695,908.4477368
5,270.9995117,449.6384888,758.3339467
6,291.9909363,389.0838013,1055.710778
7,342,353,1372.765161
8,337.4999695,343.9999695,1488.54081
9,339,337,1583.959801
10,343.5,331,1692.450198
11,340,325,1816.895066
12,340.5,325,1790.563253
13,336.4433899,322.4311218,1872.487566
14,336,322,1871.952492
15,329,317,1992.723621
16,329,317,1992.723621
17,323.5,313,2094.048551
18,323.5209656,309.579071,2159.470621
19,289,311,2130.152836
20,275,311,2130.152836
21,225,315.9999695,1992.723866
22,234.5,323,3529.967557
23,218.5,323,1844.012903
24,212.5,330,1692.450198
25,212.5,330,1692.450198
26,201.0310059,344.0317383,1486.076395
27,178,371,1187.969851
28,165.5,388,1055.973201
29,112.0000153,447.9999695,762.6474553
30,516,457,726.7580264
31,482.5,402,863.9780733
32,473.5,403,988.3909159
33,464,379,1083.761969
34,447.5,362.9999695,1273.699834
35,434.5,350,1420.101891
36,429.3997803,341.8296509,1551.726124
37,429.5,341,1563.909677
38,427,334,1625.642954
39,427,334,1625.642954
40,422.5003662,328.5608215,1731.826292
41,422.5021973,328.4980774,1733.07772
42,422,324,1816.895066
43,416.5,318,1961.093087
44,417.5,313,2094.048551
45,414,309,2206.229723
46,373.5,309,2167.523938
47,366,301,2470.97729
48,323,302,2470.97729
49,286,303,2375.939702
50,236,303,2375.939702
51,358.4999695,315.9999695,2025.391474
52,362,325,1816.895066
53,436,328,1764.983778
54,236,348,1436.614703
55,351.4999695,349.9999695,1420.10214
56,398.5,351,1388.189489
57,471,350,1403.964369
58,543.5542603,347.2772827,1433.667163
59,562.8832397,362.6459045,1301.227372
60,478.1126709,364.5131836,1238.948043
61,398,368,1211.263377
62,331,371,1187.969851
63,309.4999695,370.9999695,1199.503716
64,289.5,371,1199.503539
65,245.5,371,1176.655852
66,202.5,372,1154.662285
67,138.5,374,1176.655852
68,94,375,1143.970967
69,173,401,965.2255038
70,257,404,965.2255038
71,363.5,402,972.8257046
72,537.5,402,972.8257046
73,523.5,401.9999695,943.1213226
74,453.5,406,943.1211029
75,364.5,406,943.1211029
76,364.5,407,943.1211029
77,323,283,3431.912902
78,306,283,3431.912902
79,295,283,3431.912902
80,278,283,3431.912902
81,278,283,3431.912902
82,271,283,3431.912902
83,265,283,3431.912902
84,264,283,3431.912902
85,262,283,3431.912902
86,256.5,283,3529.967557
87,253.5,283,3529.967557
88,244,283,3633.790132
89,244,283,3633.790132
90,484.4997864,419.0160522,1557.816033
91,235,282,3633.790132
92,224.5,283,3529.967557
93,224.0982819,282.5109863,3414.345484
94,211,283,3431.912902
95,208.95224,283.5216064,3217.262889
96,223,285,3251.285907
97,238.5,285,3339.1585
98,261.5,285,3339.1585
99,272,286,3251.285907
100,281.5,286,3339.1585
101,309,287,3251.285907
102,344.5,287,3167.919602
103,344.5,287,3167.919602
104,344,288,3088.721612
105,322,288,3088.721612
106,319.9999695,289.9999695,2941.640165
107,319.9999695,289.9999695,2941.640165
108,348.5,293,2745.530322
109,348.5,293,2745.530322
110,348.5,294,2745.530322
111,348.5,294,2745.530322
112,350.5,292,2873.229407
113,350.5,292,2873.229407
114,350.5,292,2873.229407
115,350.5,292,2873.229407
116,347,291,2807.928738
117,308.5,296,2745.530322
118,302.5,289,2873.229407
119,302.9999695,290.9999695,2941.640165
120,302.9999695,290.9999695,2941.640165
121,286,298,2573.934677
122,286,298,2573.934677
123,320,313,2573.934677
124,320,313,2573.934677
125,336.9999695,297.9999695,2573.935086
126,344.5,299,2521.405398
127,367,298,2573.934677
128,392.5,298,2521.405398
129,416.5,297.9999695,2628.699671
130,441.5,298,2628.699244
131,442,298,2685.84488
132,298.5,300,2521.405398
133,264,300,2470.97729
134,219,301,2470.97729
135,173.5,302,2521.405398
136,162.4999847,304.9999695,2246.343302
137,162.5,306,2246.342991
138,153.5,309,2167.523938
139,210.5,309,2167.523938
140,210.5,309,2167.523938
141,264,309,2206.229723
142,305.9999695,308.9999695,2206.230023
143,347.5,309,2246.342991
144,394,308,2206.229723
145,440,308,2206.229723
146,408,303,2375.939702
147,333,303,2375.939702
148,274.5,303,2422.526755
149,228,303,2375.939702
150,305.5,307,2521.405398
151,367.5,309,2246.342991
152,402.7859802,311.2198486,2078.319885
153,458.7037964,316.901886,1856.598151
154,506.7803345,322.8401489,1712.422799
155,208.5,321.9999695,1844.013323
156,208.5,322,1844.012903
157,208.5,322,1844.012903
158,208.5,323,1844.012903
159,179,323,1871.952492
160,178.0191956,323.2287903,1844.257773
